delivery_id,order_id,delivery_person_id,delivery_status,distance,delivery_time,estimated_time,delivery_fee,vehicle_type
1,200,72,Delivered,2.17,53,43,83.61,Car
2,417,77,Delivered,7.95,26,74,103.38,Scooter
3,399,21,Delivered,9.64,65,68,40.08,Scooter
4,442,10,On the way,17.37,76,69,51.06,Scooter
5,212,83,On the way,4.81,57,64,51.98,Bike
6,440,70,Delivered,16.69,76,64,83.34,Bike
7,251,35,Delivered,11.52,17,62,71.17,Bike
8,119,62,Delivered,6.34,79,75,74.66,Car
9,75,18,Delivered,18.73,40,28,53.46,Scooter
10,449,86,Delivered,14.74,72,73,114.81,Scooter
11,308,65,Delivered,2.36,75,70,63.92,Car
12,134,10,Delivered,16.19,21,72,119.34,Bike
13,55,51,Delivered,3.73,83,78,72.23,Scooter
14,242,94,Delivered,5.36,25,31,28.9,Bike
15,257,21,Delivered,14.29,45,78,100.09,Car
16,289,71,Delivered,19.62,80,54,69.09,Scooter
17,418,40,On the way,11.04,19,72,33.25,Scooter
18,62,40,Delivered,4.12,24,60,56.3,Bike
19,408,48,Delivered,11.77,19,78,39.86,Car
20,63,46,Delivered,9.99,54,53,65.35,Bike
21,477,42,On the way,9.17,19,45,51.78,Scooter
22,258,15,Delivered,11.56,28,43,83.24,Scooter
23,182,21,Delivered,11.91,41,73,110.37,Car
24,214,42,Delivered,4.18,63,78,53.94,Car
25,81,2,Delivered,19.23,32,52,93.64,Car
26,500,73,Delivered,11.34,49,46,119.44,Bike
27,379,78,Delivered,8.51,66,34,78.82,Car
28,273,15,Delivered,6.26,73,56,51.56,Bike
29,455,56,On the way,12.42,63,33,34.08,Scooter
30,247,23,Delivered,15.36,66,26,99.04,Scooter
31,34,53,On the way,16.13,61,39,38.42,Car
32,103,26,Delivered,12.26,73,37,71.43,Bike
33,283,33,On the way,8.36,80,31,116.74,Car
34,77,7,Delivered,17.35,51,22,98.12,Bike
35,191,61,Delivered,13.91,27,49,62.86,Bike
36,442,61,Delivered,12.21,66,28,22.21,Scooter
37,52,59,Delivered,17.86,58,53,70.88,Bike
38,186,64,Delivered,2.65,89,63,102.73,Car
39,89,78,Delivered,19.26,80,29,114.58,Scooter
40,205,31,Delivered,16.02,65,66,95.44,Scooter
41,287,74,Delivered,18.93,80,59,101.84,Bike
42,85,24,Delivered,12.11,85,21,80.01,Bike
43,113,24,Delivered,19.28,41,51,94.19,Car
44,273,24,On the way,11.6,66,30,52.58,Car
45,395,43,Delivered,9.46,25,67,43.49,Scooter
46,239,35,Delivered,16.45,84,64,24.41,Scooter
47,241,20,Delivered,14.7,23,79,93.98,Bike
48,38,56,Delivered,10.11,19,59,32.94,Bike
49,37,61,Delivered,12.24,33,26,34.96,Car
50,133,99,Delivered,18.31,57,76,89.56,Bike
51,376,66,Delivered,8.77,23,41,55.23,Car
52,183,11,Delivered,18.91,50,21,86.88,Scooter
53,364,3,Delivered,4.03,22,42,55.74,Car
54,176,70,Delivered,11.87,37,59,42.74,Bike
55,147,81,Delivered,5.54,89,68,62.25,Bike
56,149,53,Delivered,19.97,59,71,41.58,Bike
57,302,7,Delivered,11.71,26,29,66.18,Bike
58,173,66,On the way,15.35,68,44,100.89,Bike
59,249,81,Delivered,3.22,60,21,39.56,Scooter
60,275,3,On the way,18.66,38,70,79.46,Scooter
61,464,50,Delivered,7.68,17,51,84.34,Scooter
62,44,23,Delivered,2.58,44,79,97.28,Scooter
63,328,86,Delivered,13.18,20,30,34.7,Bike
64,357,18,Delivered,13.11,18,42,35.78,Bike
65,35,28,Delivered,12.87,54,26,117.95,Scooter
66,456,25,Delivered,3.08,19,40,84.81,Car
67,373,95,Delivered,2.29,74,63,37.73,Car
68,119,22,Delivered,3.13,54,55,54.56,Scooter
69,360,27,Delivered,14.64,46,30,40.35,Scooter
70,209,85,Delivered,2.15,69,42,56.8,Bike
71,65,22,Delivered,4.82,55,54,103.21,Bike
72,119,80,Delivered,16.99,21,23,48.02,Bike
73,129,72,Delivered,19.52,74,75,21.71,Scooter
74,382,48,On the way,18.7,33,64,71.68,Car
75,360,98,Delivered,5.89,69,32,61.09,Scooter
76,262,79,On the way,16.38,40,70,29.49,Bike
77,49,75,Delivered,5.85,80,40,63.64,Scooter
78,99,19,Delivered,17.11,70,54,83.28,Scooter
79,167,2,On the way,10.94,43,68,110.51,Car
80,356,39,On the way,3.43,90,20,40.73,Car
81,31,1,Delivered,9.2,74,80,104.38,Bike
82,405,49,Delivered,2.01,61,75,30.29,Bike
83,391,21,On the way,18.81,40,46,78.14,Scooter
84,103,25,Delivered,4.01,75,72,70.95,Car
85,310,32,Delivered,17.78,50,44,40.57,Bike
86,355,11,On the way,12.71,84,48,85.18,Scooter
87,477,3,Delivered,1.29,89,48,44.3,Bike
88,59,2,Delivered,13.66,84,47,69.98,Scooter
89,208,89,Delivered,14.78,37,31,32.8,Car
90,178,44,Delivered,8.24,58,56,96.77,Scooter
91,247,50,Delivered,11.59,17,36,85.37,Scooter
92,25,21,Delivered,5.61,17,78,93.38,Bike
93,141,43,Delivered,12.94,82,39,95.6,Car
94,156,97,Delivered,6.4,57,45,118.85,Car
95,495,99,Delivered,9.7,63,33,95.85,Car
96,294,94,Delivered,18.31,86,74,99.4,Bike
97,84,38,On the way,8.84,65,39,87.86,Scooter
98,463,30,Delivered,8.32,34,52,111.1,Car
99,4,71,Delivered,9.56,39,54,20.15,Scooter
100,14,62,Delivered,14.95,58,72,75.28,Car
101,493,26,Delivered,13.86,22,51,81.0,Bike
102,55,99,Delivered,8.13,45,38,73.19,Scooter
103,228,43,Delivered,1.95,30,51,107.63,Bike
104,249,11,Delivered,10.78,60,29,37.82,Bike
105,198,32,Delivered,9.53,45,58,80.58,Scooter
106,396,22,On the way,14.39,38,43,97.16,Scooter
107,152,8,Delivered,13.6,80,67,102.04,Car
108,16,22,Delivered,16.93,73,41,49.87,Car
109,307,57,Delivered,9.39,90,26,83.81,Bike
110,406,50,Delivered,19.57,50,72,104.34,Scooter
111,450,20,Delivered,3.27,27,57,101.86,Car
112,89,5,Delivered,1.74,49,56,43.98,Bike
113,143,65,Delivered,13.59,39,43,92.72,Bike
114,26,28,Delivered,3.07,76,58,84.6,Bike
115,262,70,Delivered,17.91,52,62,79.91,Bike
116,227,79,Delivered,13.86,20,75,98.64,Scooter
117,224,86,Delivered,10.19,42,50,76.58,Car
118,368,17,Delivered,11.14,37,22,79.7,Scooter
119,272,64,Delivered,13.21,26,44,85.39,Car
120,350,62,On the way,4.72,31,54,114.58,Car
121,188,13,Delivered,11.68,50,52,111.19,Bike
122,319,50,Delivered,7.88,50,43,45.27,Scooter
123,279,3,Delivered,11.02,37,50,57.57,Scooter
124,468,88,On the way,18.27,58,39,101.98,Car
125,458,98,Delivered,2.0,49,72,88.9,Car
126,80,34,Delivered,2.46,49,69,113.35,Bike
127,345,63,Delivered,18.27,53,20,37.84,Car
128,208,46,Delivered,15.4,90,62,52.17,Bike
129,97,92,Delivered,3.68,22,23,58.22,Car
130,358,30,Delivered,10.95,62,35,47.15,Scooter
131,38,72,On the way,15.54,59,37,111.28,Bike
132,438,90,Delivered,12.69,59,37,46.78,Bike
133,475,12,Delivered,9.35,18,47,57.51,Car
134,488,45,Delivered,17.06,65,39,51.33,Scooter
135,202,43,Delivered,10.77,30,24,53.62,Bike
136,406,5,Delivered,7.58,67,27,63.72,Car
137,356,77,Delivered,10.77,78,50,73.76,Bike
138,434,82,Delivered,7.4,86,54,88.63,Scooter
139,59,96,Delivered,2.09,28,33,96.61,Bike
140,191,90,On the way,18.64,57,36,57.04,Scooter
141,281,6,On the way,6.43,89,32,22.09,Bike
142,389,18,Delivered,18.29,27,80,50.97,Scooter
143,372,93,On the way,16.46,71,46,72.8,Scooter
144,69,12,Delivered,13.47,28,49,46.25,Bike
145,443,59,Delivered,9.71,71,55,39.57,Car
146,344,39,On the way,10.24,39,31,54.85,Car
147,148,20,Delivered,3.65,45,77,77.4,Car
148,451,12,On the way,14.1,17,53,58.03,Car
149,432,44,Delivered,18.76,35,34,22.62,Car
150,468,34,Delivered,9.35,29,29,73.05,Car
151,251,14,On the way,14.95,15,64,97.17,Bike
152,96,31,Delivered,1.66,50,21,83.47,Car
153,216,82,Delivered,7.96,23,25,102.73,Scooter
154,298,29,Delivered,9.38,52,77,99.71,Scooter
