order_id,customer_id,restaurant_id,order_date,delivery_time,status,total_amount,payment_mode,discount_applied,feedback_rating
1,27,3,2026-04-04 17:37:06,2026-04-04 18:57:06,Delivered,1443.22,UPI,13.81,1
2,56,18,2025-08-06 11:29:59,2025-08-06 12:11:59,Delivered,794.86,UPI,26.92,2
3,23,12,2026-02-09 19:47:06,2026-02-09 20:24:06,Delivered,428.0,UPI,302.06,4
4,98,13,2025-08-19 13:47:59,2025-08-19 14:35:59,Delivered,2307.3,Credit Card,484.26,3
5,64,13,2025-09-25 17:11:23,2025-09-25 18:08:23,Delivered,1687.8,UPI,143.29,5
6,50,2,2026-05-31 04:18:43,2026-05-31 05:18:43,Delivered,1265.29,Debit Card,94.81,1
7,20,27,2026-04-19 04:04:39,2026-04-19 05:19:39,Pending,957.48,Cash,40.15,5
8,36,40,2026-04-04 01:50:46,2026-04-04 03:11:46,Delivered,711.69,Debit Card,478.79,4
9,53,37,2025-07-21 06:11:15,2025-07-21 07:00:15,Cancelled,1683.97,Credit Card,358.13,2
10,2,38,2025-10-19 13:16:42,2025-10-19 14:20:42,Delivered,1124.92,UPI,9.8,5
11,99,40,2025-12-28 12:53:19,2025-12-28 13:17:19,Delivered,2100.31,Debit Card,21.47,5
12,67,30,2026-05-23 22:32:03,2026-05-23 23:07:03,Delivered,860.51,UPI,123.5,4
13,16,34,2026-06-04 02:38:07,2026-06-04 03:17:07,Cancelled,1897.29,UPI,212.68,1
14,76,33,2025-10-09 04:59:45,2025-10-09 06:22:45,Delivered,1609.45,Cash,351.75,3
15,86,37,2025-10-17 22:42:03,2025-10-18 00:03:03,Delivered,1255.61,UPI,224.29,3
16,65,15,2026-04-17 04:02:34,2026-04-17 05:30:34,Delivered,415.18,UPI,6.93,3
17,5,27,2026-01-12 10:43:16,2026-01-12 12:02:16,Delivered,2452.79,UPI,280.04,4
18,87,1,2026-05-19 07:30:00,2026-05-19 08:52:00,Delivered,722.43,Credit Card,313.09,2
19,38,34,2026-06-01 16:48:36,2026-06-01 17:55:36,Pending,999.92,Debit Card,413.2,2
20,100,41,2025-11-01 23:57:47,2025-11-02 00:46:47,Delivered,865.97,Credit Card,332.15,1
21,52,10,2025-07-06 03:47:58,2025-07-06 05:07:58,Delivered,2092.02,Cash,202.52,4
22,7,40,2025-07-18 01:10:01,2025-07-18 02:14:01,Pending,2478.19,Credit Card,156.17,1
23,71,14,2026-03-19 21:25:04,2026-03-19 21:47:04,Delivered,1681.98,Credit Card,413.56,5
24,88,36,2025-12-26 06:30:54,2025-12-26 06:52:54,Delivered,1889.03,Credit Card,287.75,5
25,51,38,2025-08-18 02:48:27,2025-08-18 03:41:27,Delivered,1053.7,Credit Card,383.91,2
26,51,35,2026-05-03 14:13:05,2026-05-03 15:24:05,Delivered,189.03,Cash,273.16,5
27,48,29,2025-09-16 05:07:56,2025-09-16 06:12:56,Delivered,1912.72,Debit Card,20.04,5
28,76,37,2026-06-08 00:19:09,2026-06-08 00:51:09,Delivered,1990.98,Cash,414.88,3
29,42,13,2025-10-28 03:39:23,2025-10-28 04:46:23,Delivered,964.32,Cash,340.32,5
30,55,18,2025-12-04 05:52:49,2025-12-04 06:33:49,Delivered,326.9,Debit Card,113.35,1
31,100,23,2026-02-05 21:11:38,2026-02-05 22:06:38,Delivered,244.83,UPI,151.77,4
32,28,13,2026-01-14 00:44:19,2026-01-14 01:56:19,Delivered,1679.5,Cash,229.32,5
33,73,40,2025-10-18 01:28:37,2025-10-18 01:48:37,Delivered,1305.82,UPI,78.55,2
34,27,28,2025-11-23 07:41:04,2025-11-23 08:50:04,Delivered,1745.37,UPI,132.96,1
35,6,27,2026-03-25 22:36:06,2026-03-25 23:26:06,Delivered,766.06,Cash,13.77,1
36,1,27,2025-09-24 11:43:36,2025-09-24 12:03:36,Delivered,1241.33,UPI,38.16,4
37,2,26,2026-01-02 17:04:40,2026-01-02 17:24:40,Delivered,181.61,UPI,144.81,5
38,28,50,2026-06-11 02:31:38,2026-06-11 03:21:38,Delivered,1174.2,UPI,129.04,5
39,22,43,2026-05-21 00:26:33,2026-05-21 01:17:33,Delivered,499.52,UPI,493.53,5
40,80,11,2025-08-02 02:58:45,2025-08-02 03:26:45,Pending,300.49,Credit Card,179.12,1
41,43,38,2026-01-16 18:14:36,2026-01-16 19:29:36,Delivered,1182.69,Cash,184.83,3
42,73,42,2025-07-08 15:26:26,2025-07-08 16:03:26,Delivered,1264.42,Credit Card,298.02,4
43,39,18,2025-08-23 16:59:37,2025-08-23 18:27:37,Pending,1210.41,Credit Card,491.67,3
44,25,46,2025-12-20 22:24:21,2025-12-20 23:08:21,Delivered,1291.37,Credit Card,41.11,3
45,5,50,2026-05-29 13:48:40,2026-05-29 14:38:40,Delivered,1917.85,Credit Card,51.72,4
46,25,32,2026-03-05 18:06:04,2026-03-05 18:27:04,Delivered,2335.03,Debit Card,74.05,1
